Sample_ID,Lipid,n-7_Area,n-9_Area,n-9/n-7_Ratio,n-7_Intensity,n-9_Intensity,n-9/n-7_Intensity_Ratio
CrudeCanola_O3on_150gN3_02082023,[TG(52:2)]_FA18:1,385.16488157755424,1594.4484080973446,4.139651573546424,3814.960205078125,16153.12109375,4.234151924376157
CrudeCanola_O3on_150gN3_02082023,[TG(52:3)]_FA18:1,181.89740794982802,403.30980382283326,2.2172377735810094,1083.4000244140625,3419.8203125,3.156562890377955
CrudeCanola_O3on_150gN3_02082023,[TG(52:4)]_FA18:1,113.47224670435597,255.85616590271005,2.2547906940568954,615.4200439453125,1874.7801513671875,3.046342363743005
CrudeCanola_O3on_150gN3_02082023,[TG(54:2)]_FA18:1,217.319775743614,1178.1856605936598,5.421437862993383,2716.400146484375,11693.0810546875,4.304623922885935
CrudeCanola_O3on_150gN3_02082023,[TG(54:3)]_FA18:1,1585.3710004475806,9933.026600911484,6.265427207957758,17186.220703125,99860.1484375,5.810477484403669
CrudeCanola_O3on_150gN3_02082023,[TG(54:4)]_FA18:1,638.0320645060182,2811.806176220692,4.406998225704642,5501.26025390625,27000.62109375,4.908079212318271
CrudeCanola_O3on_150gN3_02082023,[TG(54:5)]_FA18:1,118.33253814137811,895.0341967865004,7.563720096303149,1287.4801025390625,5259.14013671875,4.08483216660755
DegummedCanola_O3on_150gN3_02082023,[TG(52:2)]_FA18:1,305.4795592834467,1127.6220338236474,3.691317469714416,2316.06005859375,9987.041015625,4.312082054421708
DegummedCanola_O3on_150gN3_02082023,[TG(52:3)]_FA18:1,95.03874267832461,295.3721498657248,3.107913063049076,954.5200805664062,2387.040283203125,2.500775344387381
DegummedCanola_O3on_150gN3_02082023,[TG(52:4)]_FA18:1,101.17768711903823,200.18898819376543,1.9785883023619406,640.02001953125,1896.60009765625,2.9633449576238537
DegummedCanola_O3on_150gN3_02082023,[TG(54:2)]_FA18:1,194.40153077036436,577.200425305181,2.9691146104553856,1344.7200927734375,5166.14013671875,3.841795898255502
DegummedCanola_O3on_150gN3_02082023,[TG(54:3)]_FA18:1,1060.2003797892226,6127.100460514379,5.779190969288751,10785.3603515625,61997.8046875,5.748329463884647
DegummedCanola_O3on_150gN3_02082023,[TG(54:4)]_FA18:1,305.60597833353916,1512.694245418306,4.949818893161009,3479.060302734375,14145.28125,4.065833880166574
DegummedCanola_O3on_150gN3_02082023,[TG(54:5)]_FA18:1,84.22205965372827,604.449981713868,7.1768606015931224,1060.780029296875,4061.100341796875,3.828409500213466
RBDCanola_O3on_150gN3_02082023,[TG(52:2)]_FA18:1,269.67775872599293,1307.6252130452353,4.848843372262867,2688.520263671875,12641.9609375,4.702200354716355
RBDCanola_O3on_150gN3_02082023,[TG(52:3)]_FA18:1,141.92075133616268,366.9288855061869,2.585449147158581,1009.3800659179688,3096.64013671875,3.0678633760243197
RBDCanola_O3on_150gN3_02082023,[TG(52:4)]_FA18:1,121.75349167200741,207.62951898651102,1.7053270188410337,492.0800476074219,1317.2000732421875,2.6768004101093745
RBDCanola_O3on_150gN3_02082023,[TG(54:2)]_FA18:1,216.3233566853861,774.0855524414034,3.5783725081855544,1725.320068359375,7721.20068359375,4.475228002729906
RBDCanola_O3on_150gN3_02082023,[TG(54:3)]_FA18:1,1201.1654116658585,6674.495229248085,5.5566828385371485,11771.0205078125,63685.9453125,5.410401355620037
RBDCanola_O3on_150gN3_02082023,[TG(54:4)]_FA18:1,401.51772391154157,1803.8168640503081,4.492496237719527,3560.100341796875,17709.400390625,4.974410463297954
RBDCanola_O3on_150gN3_02082023,[TG(54:5)]_FA18:1,134.54351282958962,550.074449212647,4.08845017975234,891.4800415039062,3415.2001953125,3.8309328715325317
